seed,observer,mode,accuracy,reward,replay_accept_rate
2815,O4,MDP_control,1.0,1.0,1.0
2815,O5R,MDP_control,1.0,1.0,1.0
2852,O1,MDP_control,1.0,1.0,0.0
2852,O2,MDP_control,0.93,0.86,0.0
2852,O3,MDP_control,1.0,1.0,0.0
2852,O4,MDP_control,1.0,1.0,1.0
2852,O5R,MDP_control,1.0,1.0,1.0
2889,O1,MDP_control,1.0,1.0,0.0
2889,O2,MDP_control,1.0,1.0,0.0
2889,O3,MDP_control,1.0,1.0,0.0
2889,O4,MDP_control,1.0,1.0,1.0
2889,O5R,MDP_control,1.0,1.0,1.0
2926,O1,MDP_control,1.0,1.0,0.0
2926,O2,MDP_control,1.0,1.0,0.0
2926,O3,MDP_control,1.0,1.0,0.0
2926,O4,MDP_control,1.0,1.0,1.0
2926,O5R,MDP_control,1.0,1.0,1.0
2963,O1,MDP_control,1.0,1.0,0.0
2963,O2,MDP_control,1.0,1.0,0.0
2963,O3,MDP_control,1.0,1.0,0.0
2963,O4,MDP_control,1.0,1.0,1.0
2963,O5R,MDP_control,1.0,1.0,1.0
3000,O1,MDP_control,1.0,1.0,0.0
3000,O2,MDP_control,1.0,1.0,0.0
3000,O3,MDP_control,1.0,1.0,0.0
3000,O4,MDP_control,1.0,1.0,1.0
3000,O5R,MDP_control,1.0,1.0,1.0
3037,O1,MDP_control,1.0,1.0,0.0
3037,O2,MDP_control,0.7433333333333333,0.4866666666666667,0.0
3037,O3,MDP_control,1.0,1.0,0.0
3037,O4,MDP_control,1.0,1.0,1.0
3037,O5R,MDP_control,1.0,1.0,1.0
3074,O1,MDP_control,1.0,1.0,0.0
3074,O2,MDP_control,0.97,0.94,0.0
3074,O3,MDP_control,1.0,1.0,0.0
3074,O4,MDP_control,1.0,1.0,1.0
3074,O5R,MDP_control,1.0,1.0,1.0
3111,O1,MDP_control,1.0,1.0,0.0
3111,O2,MDP_control,0.9966666666666667,0.9933333333333333,0.0
3111,O3,MDP_control,1.0,1.0,0.0
3111,O4,MDP_control,1.0,1.0,1.0
3111,O5R,MDP_control,1.0,1.0,1.0
3148,O1,MDP_control,1.0,1.0,0.0
3148,O2,MDP_control,1.0,1.0,0.0
3148,O3,MDP_control,1.0,1.0,0.0
3148,O4,MDP_control,1.0,1.0,1.0
3148,O5R,MDP_control,1.0,1.0,1.0
3185,O1,MDP_control,1.0,1.0,0.0
3185,O2,MDP_control,0.7266666666666667,0.4533333333333333,0.0
3185,O3,MDP_control,1.0,1.0,0.0
3185,O4,MDP_control,1.0,1.0,1.0
3185,O5R,MDP_control,1.0,1.0,1.0
3222,O1,MDP_control,1.0,1.0,0.0
3222,O2,MDP_control,1.0,1.0,0.0
3222,O3,MDP_control,1.0,1.0,0.0
3222,O4,MDP_control,1.0,1.0,1.0
3222,O5R,MDP_control,1.0,1.0,1.0
3259,O1,MDP_control,1.0,1.0,0.0
3259,O2,MDP_control,1.0,1.0,0.0
3259,O3,MDP_control,1.0,1.0,0.0
3259,O4,MDP_control,1.0,1.0,1.0
3259,O5R,MDP_control,1.0,1.0,1.0
3296,O1,MDP_control,1.0,1.0,0.0
3296,O2,MDP_control,1.0,1.0,0.0
3296,O3,MDP_control,1.0,1.0,0.0
3296,O4,MDP_control,1.0,1.0,1.0
3296,O5R,MDP_control,1.0,1.0,1.0
3333,O1,MDP_control,1.0,1.0,0.0
3333,O2,MDP_control,1.0,1.0,0.0
3333,O3,MDP_control,1.0,1.0,0.0
3333,O4,MDP_control,1.0,1.0,1.0
3333,O5R,MDP_control,1.0,1.0,1.0
3370,O1,MDP_control,1.0,1.0,0.0
3370,O2,MDP_control,0.99,0.98,0.0
3370,O3,MDP_control,1.0,1.0,0.0
3370,O4,MDP_control,1.0,1.0,1.0
3370,O5R,MDP_control,1.0,1.0,1.0
3407,O1,MDP_control,1.0,1.0,0.0
3407,O2,MDP_control,1.0,1.0,0.0
3407,O3,MDP_control,1.0,1.0,0.0
3407,O4,MDP_control,1.0,1.0,1.0
3407,O5R,MDP_control,1.0,1.0,1.0
3444,O1,MDP_control,1.0,1.0,0.0
3444,O2,MDP_control,0.7766666666666666,0.5533333333333333,0.0
3444,O3,MDP_control,1.0,1.0,0.0
3444,O4,MDP_control,1.0,1.0,1.0
3444,O5R,MDP_control,1.0,1.0,1.0
