seed,mode,H_hazard_bits,I_central_hazard_bits,I_peripheral_hazard_bits,I_peripheral_hazard_given_central_bits,I_ticket_hazard_bits
2001,POMDP,0.9999594238215683,0.04559305406086778,0.28331789519373063,0.26085226532988603,0.0004572572885770138
2001,MDP_control,0.9999594238215683,0.9999594238215683,0.28331789519373063,0.0,0.0004572572885770138
2038,POMDP,0.9985387778753936,0.061122984175351086,0.29852624404481876,0.29034180627519685,0.0013697375761108424
2038,MDP_control,0.9985387778753936,0.9985387778753934,0.29852624404481876,0.0,0.0013697375761108424
2075,POMDP,0.9998872865145765,0.06154210591782379,0.317083405485121,0.2892654432782302,0.0010182065129633946
2075,MDP_control,0.9998872865145765,0.9998872865145765,0.317083405485121,0.0,0.0010182065129633946
2112,POMDP,0.9994544121587243,0.0691975039795581,0.2847801128017393,0.2649921787370985,4.520689949663592e-05
2112,MDP_control,0.9994544121587243,0.9994544121587243,0.2847801128017393,0.0,4.520689949663592e-05
2149,POMDP,0.9994544121587243,0.05337746133714849,0.29313999671427066,0.2810388168182728,0.0003837379531144349
2149,MDP_control,0.9994544121587243,0.9994544121587243,0.29313999671427066,0.0,0.0003837379531144349
2186,POMDP,0.9993506898146103,0.0663110387553115,0.33035486772303213,0.3057874308080655,0.00020077804998434434
2186,MDP_control,0.9993506898146103,0.9993506898146105,0.33035486772303213,0.0,0.00020077804998434434
2223,POMDP,0.9994544121587243,0.07843726568323915,0.3142633998113704,0.28265330502045916,0.0007562086415897097
2223,MDP_control,0.9994544121587243,0.9994544121587243,0.3142633998113704,0.0,0.0007562086415897097
2260,POMDP,0.9991161687869752,0.061268592458955995,0.28924628824365983,0.2775309664349206,0.0010796643890185129
2260,MDP_control,0.9991161687869752,0.9991161687869751,0.28924628824365983,0.0,0.0010796643890185129
2297,POMDP,0.999779076044731,0.0740149255724171,0.2659860692144086,0.24209251976365856,1.1192799337025753e-07
2297,MDP_control,0.999779076044731,0.9997790760447312,0.2659860692144086,0.0,1.1192799337025753e-07
2334,POMDP,0.9999278640456615,0.061513186794438277,0.37263558358934223,0.33937944545738497,0.0008099706394626323
2334,MDP_control,0.9999278640456615,0.9999278640456615,0.37263558358934223,0.0,0.0008099706394626323
2371,POMDP,0.9998376907209825,0.05427730549872441,0.3201151756666633,0.28911102407010175,0.00714372805504699
2371,MDP_control,0.9998376907209825,0.9998376907209825,0.3201151756666633,0.0,0.00714372805504699
2408,POMDP,0.9993506898146103,0.05014343409157211,0.2953867153088391,0.2835438594169066,0.003256009950961907
2408,MDP_control,0.9993506898146103,0.9993506898146105,0.2953867153088391,0.0,0.003256009950961907
2445,POMDP,0.9976137288096931,0.1096997059748982,0.32705074552941454,0.2721378483712012,1.5519839554116845e-05
2445,MDP_control,0.9976137288096931,0.9976137288096932,0.32705074552941454,0.0,1.5519839554116845e-05
2482,POMDP,0.9991161687869752,0.08015465637504054,0.3196414430929322,0.2915374678346663,0.0023532570875755103
2482,MDP_control,0.9991161687869752,0.9991161687869751,0.3196414430929322,0.0,0.0023532570875755103
2519,POMDP,0.9994544121587243,0.05462094393863774,0.3121521084895651,0.3014978564079801,7.687991192981353e-07
2519,MDP_control,0.9994544121587243,0.9994544121587243,0.3121521084895651,0.0,7.687991192981353e-07
2556,POMDP,0.9971803988942642,0.09361122016832109,0.33120074314791625,0.297392077691529,2.1451880096547745e-06
2556,MDP_control,0.9971803988942642,0.9971803988942642,0.33120074314791625,0.0,2.1451880096547745e-06
2593,POMDP,0.998010871552479,0.06694675940257837,0.3236671634129165,0.30179966318973783,0.0009265976481798877
2593,MDP_control,0.998010871552479,0.998010871552479,0.3236671634129165,0.0,0.0009265976481798877
2630,POMDP,0.9971803988942642,0.04153243065688955,0.2877700680660207,0.26870188629435243,0.000645084894468094
2630,MDP_control,0.9971803988942642,0.9971803988942642,0.2877700680660207,0.0,0.000645084894468094
2667,POMDP,0.9999594238215683,0.1025516681092585,0.3125922095082143,0.2873451614546221,1.8720362135459055e-05
2667,MDP_control,0.9999594238215683,0.9999594238215683,0.3125922095082143,0.0,1.8720362135459055e-05
2704,POMDP,0.9964625048848763,0.10677829734527745,0.3265734088080551,0.2768747457320177,0.0012149604107452479
2704,MDP_control,0.9964625048848763,0.9964625048848764,0.3265734088080551,0.0,0.0012149604107452479
2741,POMDP,0.9997114417528099,0.06396090184608903,0.2858767081906394,0.26871500759416606,0.0001580881577103333
2741,MDP_control,0.9997114417528099,0.9997114417528099,0.2858767081906394,0.0,0.0001580881577103333
2778,POMDP,0.9991161687869752,0.07209480534217512,0.35379324346107566,0.3207478936289756,0.0002189893796359886
2778,MDP_control,0.9991161687869752,0.9991161687869751,0.35379324346107566,0.0,0.0002189893796359886
2815,POMDP,0.9999954915733009,0.08140981188150359,0.3717503850773247,0.3431602715513096,1.7811935425875603e-05
2815,MDP_control,0.9999954915733009,0.9999954915733009,0.3717503850773247,0.0,1.7811935425875603e-05
2852,POMDP,0.9999819662368479,0.03203147773695117,0.3397722625611905,0.3265007118422044,0.00011835296177767005
2852,MDP_control,0.9999819662368479,0.9999819662368479,0.3397722625611905,0.0,0.00011835296177767005
2889,POMDP,0.9999819662368479,0.08003755969396834,0.33955105056226453,0.31262349055563743,0.00035835830213013127
2889,MDP_control,0.9999819662368479,0.9999819662368479,0.33955105056226453,0.0,0.00035835830213013127
2926,POMDP,0.9986966735201206,0.0514393217407097,0.34772406798417044,0.33656685539012166,0.00023223055511506063
2926,MDP_control,0.9986966735201206,0.9986966735201206,0.34772406798417044,0.0,0.00023223055511506063
2963,POMDP,0.9953784388202257,0.058803229231051635,0.2878572809090687,0.26427937225815346,0.00046267692971333277
2963,MDP_control,0.9953784388202257,0.9953784388202258,0.2878572809090687,0.0,0.00046267692971333277
3000,POMDP,0.9983718470809946,0.05710972399313355,0.3237952002657443,0.300431228348407,1.1148085024690951e-05
3000,MDP_control,0.9983718470809946,0.9983718470809946,0.3237952002657443,0.0,1.1148085024690951e-05
3037,POMDP,0.9989853671667237,0.06680652102755298,0.3647121628196988,0.3461198629153909,7.164241601579583e-05
3037,MDP_control,0.9989853671667237,0.9989853671667237,0.3647121628196988,0.0,7.164241601579583e-05
3074,POMDP,1.0,0.06266157920716287,0.3309973592303851,0.319462184610635,0.00036572752236268234
3074,MDP_control,1.0,1.0,0.3309973592303851,0.0,0.00036572752236268234
3111,POMDP,0.9998872865145765,0.0716833190078784,0.3746681642232489,0.3368339356576663,0.004110728152354456
3111,MDP_control,0.9998872865145765,0.9998872865145765,0.3746681642232489,0.0,0.004110728152354456
3148,POMDP,0.9998376907209825,0.04286996912666893,0.31705169193433935,0.297747338188027,0.0005298532226316512
3148,MDP_control,0.9998376907209825,0.9998376907209825,0.31705169193433935,0.0,0.0005298532226316512
3185,POMDP,0.9993506898146103,0.0590973374506682,0.28635350538987414,0.26180128617026954,0.000787850422329997
3185,MDP_control,0.9993506898146103,0.9993506898146105,0.28635350538987414,0.0,0.000787850422329997
3222,POMDP,0.9998872865145765,0.04827787387845392,0.3566827348334679,0.33270991319928905,4.1262777415005444e-05
3222,MDP_control,0.9998872865145765,0.9998872865145765,0.3566827348334679,0.0,4.1262777415005444e-05
3259,POMDP,0.9999278640456615,0.052290710056858106,0.2811362438317047,0.26578058058881787,0.00028159125999513163
3259,MDP_control,0.9999278640456615,0.9999278640456615,0.2811362438317047,0.0,0.00028159125999513163
3296,POMDP,0.9999594238215683,0.046512913135881725,0.33124876324427477,0.3189212601909441,2.1659508482185872e-05
3296,MDP_control,0.9999594238215683,0.9999594238215683,0.33124876324427477,0.0,2.1659508482185872e-05
3333,POMDP,0.9998872865145765,0.07180644602324987,0.3017724319199686,0.2747204965812031,0.0014296782344869821
3333,MDP_control,0.9998872865145765,0.9998872865145765,0.3017724319199686,0.0,0.0014296782344869821
3370,POMDP,0.9999278640456615,0.0455708065889789,0.31821445219853545,0.30018168378573173,1.9138263538612298e-05
3370,MDP_control,0.9999278640456615,0.9999278640456615,0.31821445219853545,0.0,1.9138263538612298e-05
3407,POMDP,1.0,0.09293097854634025,0.2515179225521747,0.21332026416127942,0.002606319340089692
3407,MDP_control,1.0,1.0,0.2515179225521747,0.0,0.002606319340089692
3444,POMDP,0.9988455359952018,0.06306937563194114,0.33686849293012366,0.31075664732068187,0.0015060996386522078
3444,MDP_control,0.9988455359952018,0.9988455359952018,0.33686849293012366,0.0,0.0015060996386522078
