seed,peripheral_accuracy,observer,accuracy,reward,peripheral_mi,peripheral_cmi
8001,0.5,O1,0.68,0.36,0.00011517597723880411,0.0010445042423417017
8001,0.5,O3,0.6257142857142857,0.25142857142857145,0.00011517597723880411,0.0010445042423417017
8001,0.6,O1,0.5,0.0,0.014868682878398508,0.022841693560260976
8001,0.6,O3,0.5,0.0,0.014868682878398508,0.022841693560260976
8001,0.7,O1,0.6742857142857143,0.3485714285714286,0.1018484169249503,0.07554227953574495
8001,0.7,O3,0.5057142857142857,0.011428571428571429,0.1018484169249503,0.07554227953574495
8001,0.8,O1,0.6628571428571428,0.32571428571428573,0.2794260581680207,0.2557326603535643
8001,0.8,O3,0.6657142857142857,0.3314285714285714,0.2794260581680207,0.2557326603535643
8001,0.9,O1,0.6142857142857143,0.22857142857142856,0.5526609115800114,0.4905873699143116
8001,0.9,O3,0.6628571428571428,0.32571428571428573,0.5526609115800114,0.4905873699143116
8001,0.98,O1,0.5342857142857143,0.06857142857142857,0.7571742463835289,0.6998917678031574
8001,0.98,O3,0.64,0.28,0.7571742463835289,0.6998917678031574
8109,0.5,O1,0.6514285714285715,0.3028571428571429,0.0014957102960270682,0.0034132969281499954
8109,0.5,O3,0.6942857142857143,0.38857142857142857,0.0014957102960270682,0.0034132969281499954
8109,0.6,O1,0.6657142857142857,0.3314285714285714,0.01307672965494143,0.017065489779873308
8109,0.6,O3,0.6542857142857142,0.30857142857142855,0.01307672965494143,0.017065489779873308
8109,0.7,O1,0.6657142857142857,0.3314285714285714,0.07470465581939476,0.07042633866770595
8109,0.7,O3,0.5857142857142857,0.17142857142857143,0.07470465581939476,0.07042633866770595
8109,0.8,O1,0.6142857142857143,0.22857142857142856,0.2341034202436703,0.21133456369997314
8109,0.8,O3,0.6142857142857143,0.22857142857142856,0.2341034202436703,0.21133456369997314
8109,0.9,O1,0.58,0.16,0.4557048470661895,0.42918058938977854
8109,0.9,O3,0.6171428571428571,0.2342857142857143,0.4557048470661895,0.42918058938977854
8109,0.98,O1,0.6342857142857142,0.26857142857142857,0.8703762574721313,0.8201930608417167
8109,0.98,O3,0.6085714285714285,0.21714285714285714,0.8703762574721313,0.8201930608417167
8207,0.5,O1,0.6057142857142858,0.21142857142857144,0.0066340912444042485,0.004327430976960088
8207,0.5,O3,0.5228571428571429,0.045714285714285714,0.0066340912444042485,0.004327430976960088
8207,0.6,O1,0.5257142857142857,0.05142857142857143,0.041763766636645536,0.03384857417831189
8207,0.6,O3,0.54,0.08,0.041763766636645536,0.03384857417831189
8207,0.7,O1,0.5542857142857143,0.10857142857142857,0.11754223064449536,0.1167306825638933
8207,0.7,O3,0.5742857142857143,0.14857142857142858,0.11754223064449536,0.1167306825638933
8207,0.8,O1,0.7171428571428572,0.4342857142857143,0.22921118396456402,0.21124903837679943
8207,0.8,O3,0.6142857142857143,0.22857142857142856,0.22921118396456402,0.21124903837679943
8207,0.9,O1,0.66,0.32,0.5586513809438305,0.49025024128580935
8207,0.9,O3,0.5142857142857142,0.02857142857142857,0.5586513809438305,0.49025024128580935
8207,0.98,O1,0.66,0.32,0.9079918610819537,0.8771724304481558
8207,0.98,O3,0.5342857142857143,0.06857142857142857,0.9079918610819537,0.8771724304481558
8303,0.5,O1,0.6857142857142857,0.37142857142857144,0.0008328137583798172,0.0032276580265610615
8303,0.5,O3,0.6857142857142857,0.37142857142857144,0.0008328137583798172,0.0032276580265610615
8303,0.6,O1,0.6371428571428571,0.2742857142857143,0.03825044279849535,0.025160613001475013
8303,0.6,O3,0.6371428571428571,0.2742857142857143,0.03825044279849535,0.025160613001475013
8303,0.7,O1,0.5057142857142857,0.011428571428571429,0.12572918494225718,0.11375915711540363
8303,0.7,O3,0.6342857142857142,0.26857142857142857,0.12572918494225718,0.11375915711540363
8303,0.8,O1,0.5114285714285715,0.022857142857142857,0.17734937526210254,0.14652811418198886
8303,0.8,O3,0.6371428571428571,0.2742857142857143,0.17734937526210254,0.14652811418198886
8303,0.9,O1,0.6685714285714286,0.33714285714285713,0.5040608560286413,0.48714680423475853
8303,0.9,O3,0.66,0.32,0.5040608560286413,0.48714680423475853
8303,0.98,O1,0.6571428571428571,0.3142857142857143,0.8428047741418913,0.817001619325378
8303,0.98,O3,0.6885714285714286,0.37714285714285717,0.8428047741418913,0.817001619325378
8419,0.5,O1,0.5885714285714285,0.17714285714285713,0.006878119914479799,0.012558254839183457
8419,0.5,O3,0.5457142857142857,0.09142857142857143,0.006878119914479799,0.012558254839183457
8419,0.6,O1,0.5714285714285714,0.14285714285714285,0.015594418055400627,0.015409380775684732
8419,0.6,O3,0.6171428571428571,0.2342857142857143,0.015594418055400627,0.015409380775684732
8419,0.7,O1,0.56,0.12,0.10203985115943841,0.10090852076619833
8419,0.7,O3,0.49714285714285716,-0.005714285714285714,0.10203985115943841,0.10090852076619833
8419,0.8,O1,0.47714285714285715,-0.045714285714285714,0.31989080976242706,0.26022763007797334
8419,0.8,O3,0.6314285714285715,0.26285714285714284,0.31989080976242706,0.26022763007797334
8419,0.9,O1,0.6742857142857143,0.3485714285714286,0.5632572458396996,0.5319495474355639
8419,0.9,O3,0.58,0.16,0.5632572458396996,0.5319495474355639
8419,0.98,O1,0.47714285714285715,-0.045714285714285714,0.8265060876437009,0.7757018192977851
8419,0.98,O3,0.5171428571428571,0.03428571428571429,0.8265060876437009,0.7757018192977851
