seed,phase,H_y,I_c_y,I_p_y,I_p_y_given_c,H_combo,combo_coverage
12001,A,0.9978168222872277,0.9978168222872276,0.003843421583524898,0.0,1.9928189366989049,1.0
12001,B,1.0,0.03922389080286126,0.448588744747339,0.4404306215157132,1.9868304973463848,1.0
12001,C,0.9998872865145765,0.00015899452308091363,0.00010939872948692413,0.9997282919914954,1.999615578506072,1.0
12054,A,0.9997114417528099,0.9997114417528099,6.931380056398847e-05,0.0,1.9995699919979075,1.0
12054,B,0.9873944843383377,0.07717143689547709,0.41237042931910434,0.38333761218953166,1.9576546217581927,1.0
12054,C,0.998010871552479,0.0016691891095961253,0.00011317214492912158,0.9963416824428828,1.9962695464885445,1.0
12107,A,0.9993506898146103,0.9993506898146105,0.004774020798071689,0.0,1.9934222050117403,1.0
12107,B,0.9998961234639354,0.07750739585372036,0.40054350862126775,0.35575778281634224,1.949086800154813,1.0
12107,C,0.9983718470809946,0.0014568088945093247,9.519660191894034e-08,0.9969150381864853,1.9969105297597862,1.0
12160,A,0.9985387778753936,0.9985387778753934,0.007545204652140314,0.0,1.9874560781081296,1.0
12160,B,0.9994343896240241,0.058431038000665764,0.3955618885042632,0.35566456788397627,1.945854061615243,1.0
12160,C,0.9974015885677396,0.00028098252131038195,1.0458037272344147e-05,0.9971206060464293,1.9971025722832771,1.0
12213,A,1.0,1.0,0.001155505349341307,0.0,1.9981951844652692,1.0
12213,B,0.9983373765218819,0.05659085490405055,0.41609491909913376,0.40688849881286926,1.9832664112527225,1.0
12213,C,0.9999819662368479,0.003543015949784678,7.765678899949915e-05,0.9964389502870631,1.9963668143327244,1.0
12266,A,0.9991161687869752,0.9991161687869751,0.000921074203083792,0.0,1.9979065363367015,1.0
12266,B,0.999953833266239,0.07143068194519796,0.41572253733979736,0.3767404527420065,1.9585357854329768,1.0
12266,C,0.9999819662368479,4.6450720391749255e-06,4.071282377186196e-05,0.9999773211648084,1.999936744986377,1.0
12319,A,0.9999819662368479,0.9999819662368479,0.010396324357445995,0.0,1.9874024641666295,1.0
12319,B,0.9949041692998883,0.0407875419345842,0.3570248952176768,0.33767963483527763,1.9687032182938695,1.0
