seed,peripheral_accuracy,observer,accuracy,reward,peripheral_mi,peripheral_cmi
101,0.5,O1,0.82,0.64,0.018040433463003276,0.03754524047598224
101,0.5,O3,0.69,0.38,0.018040433463003276,0.03754524047598224
101,0.8,O1,0.73,0.46,0.20417012086293382,0.16875302673517542
101,0.8,O3,0.73,0.46,0.20417012086293382,0.16875302673517542
101,0.95,O1,0.71,0.42,0.8776994414539944,0.8503081289745821
101,0.95,O3,0.72,0.44,0.8776994414539944,0.8503081289745821
