seed,mode,H_hazard_bits,I_central_hazard_bits,I_peripheral_hazard_bits,I_peripheral_hazard_given_central_bits,I_ticket_hazard_bits
11,POMDP,0.9974015885677396,0.0462456732083624,0.4157445463008285,0.369921127535758,9.416524451408021e-06
11,MDP_control,0.9974015885677396,0.9974015885677394,0.4157445463008285,0.0,9.416524451408021e-06
22,POMDP,0.9988455359952018,0.0025344636592879097,0.2780952802487147,0.27627068806394933,0.00048311903310748437
22,MDP_control,0.9988455359952018,0.9988455359952018,0.2780952802487147,0.0,0.00048311903310748437
